0.53, 0,1,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,2,"[0.0, -0.3343734788764468, 0.0, 0.0]"
0.53, 0,3,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,4,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,5,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,6,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,7,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,8,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,9,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,10,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,11,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,12,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,13,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,14,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,15,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,16,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,17,"[0.0, 0.0, 0.0, 0.0]"
0.53, 0,18,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,2,"[0.0, -0.3343734788764468, 0.0, 0.0]"
0.53,1,3,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,4,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,5,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,6,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,7,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,8,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,9,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,10,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,11,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,12,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,13,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,14,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,15,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,16,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,17,"[0.0, 0.0, 0.0, 0.0]"
0.53,1,18,"[0.0, 0.0, 0.0, 0.0]"
0.53,2,3,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,4,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,5,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,6,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,7,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,8,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,9,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,10,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,11,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,12,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,13,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,14,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,15,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,16,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,17,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,2,18,"[-0.3343734788764468, 0.0, 0.0, 0.0]"
0.53,3,4,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,5,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,6,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,7,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,8,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,9,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,10,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,11,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,12,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,13,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,14,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,15,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,16,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,17,"[0.0, 0.0, 0.0, 0.0]"
0.53,3,18,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,5,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,6,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,7,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,8,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,9,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,10,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,11,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,12,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,13,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,14,"[0.0, 0.0, 0.0, 0.0]"
0.53,4,15,"[0.0, 0.0, 0.0, 0.0]"
