0.68,4,29,"[-0.04689600847430133, -0.06457762520903605, 0.0, 0.0]"
0.67,17,31,"[-0.1589353518522758, -0.1772375651394667, 0.0, 0.0]"
0.66,7,10,"[0.1787560692040776, -0.16834344175014643, 0.0, 0.0]"
0.66,7,20,"[0.14501380259876778, -0.13142231504886226, 0.0, 0.0]"
0.66,19,30,"[0.2153894517135012, -0.2644312281015032, 0.0, 0.0]"
0.65,12,30,"[0.2350779635143588, -0.2538366746715301, 0.0, 0.0]"
0.65,17,25,"[-0.14261109190095744, 0.12991227219677054, 0.0, 0.0]"
0.64,5,10,"[-0.11212984368347416, -0.12992521033144483, 0.0, 0.0]"
0.64,7,30,"[0.19361606844870297, -0.21762464185741687, 0.0, 0.0]"
0.64,10,12,"[-0.19361224231888735, 0.19367324303143352, 0.0, 0.0]"
0.64,12,14,"[0.1383983012877876, 0.10448950484774003, 0.0, 0.0]"
0.64,14,19,"[0.13605166468262522, 0.11347888027345293, 0.0, 0.0]"
0.63,0,14,"[-0.02435516553458985, 0.12175413436065016, 0.0, 0.0]"
0.63,2,14,"[-0.044453911939101066, 0.11954338124277006, 0.0, 0.0]"
0.63,3,30,"[0.10732044613088519, -0.2362218752158031, 0.0, 0.0]"
0.63,5,12,"[-0.1909933878511085, 0.1792946363963175, 0.0, 0.0]"
0.63,5,29,"[-0.11621093511366123, -0.07730534677508609, 0.0, 0.0]"
0.63,7,17,"[0.1850989526437832, -0.18321341123661458, 0.0, 0.0]"
0.63,7,26,"[0.12485743975886675, 0.02268393417339069, 0.0, 0.0]"
0.63,7,31,"[0.18529657165994287, -0.1844282817962143, 0.0, 0.0]"
0.63,10,19,"[-0.15317815329656614, 0.15588004687060644, 0.0, 0.0]"
0.63,30,31,"[-0.24203163876989853, -0.15300425442232785, 0.0, 0.0]"
0.62,5,7,"[-0.14464816109086023, 0.1433363655953563, 0.0, 0.0]"
0.62,7,15,"[0.1323346570426861, -0.05374832737759595, 0.0, 0.0]"
0.62,7,19,"[0.11376028742979459, 0.08063503267806618, 0.0, 0.0]"
0.62,7,25,"[0.12801068556425121, 0.06185876085978783, 0.0, 0.0]"
0.62,14,22,"[0.12903405000814122, -0.02431664457606948, 0.0, 0.0]"
0.62,14,25,"[0.1252131360019668, 0.06416231517572277, 0.0, 0.0]"
0.62,14,30,"[0.17631180257712986, -0.2100163525671593, 0.0, 0.0]"
0.62,22,30,"[0.06590010767989975, -0.2460335802546278, 0.0, 0.0]"
0.61,3,5,"[0.09927171521453484, -0.12170402516588909, 0.0, 0.0]"
0.61,3,10,"[0.11312042692408641, -0.12873599910644218, 0.0, 0.0]"
0.61,3,14,"[0.028980185449107413, 0.12539576088672488, 0.0, 0.0]"
0.61,5,17,"[-0.138334379877896, -0.15323040480088146, 0.0, 0.0]"
0.61,5,19,"[-0.167335757109459, 0.16043345190817995, 0.0, 0.0]"
0.61,5,23,"[-0.11244500292350312, -0.06097776087444628, 0.0, 0.0]"
0.61,6,7,"[-0.018801174947290594, 0.13018290492417228, 0.0, 0.0]"
0.61,7,24,"[0.13610695339618623, -0.06482836163933887, 0.0, 0.0]"
0.61,8,14,"[-0.02069004682598184, 0.12717421572248758, 0.0, 0.0]"
0.61,9,14,"[0.0, 0.12438413137928916, 0.0, 0.0]"
0.61,10,17,"[-0.13485808324614168, -0.13597337230870293, 0.0, 0.0]"
0.61,10,28,"[-0.119333577516021, 0.0747593577292907, 0.0, 0.0]"
0.61,10,30,"[-0.13773529431068043, -0.24469608620148678, 0.0, 0.0]"
0.61,12,29,"[0.13452653617489327, -0.127188190043054, 0.0, 0.0]"
0.61,13,14,"[0.006085625222994782, 0.12407950977128737, 0.0, 0.0]"
0.61,14,15,"[0.12400237580749261, -0.04376334613536501, 0.0, 0.0]"
