('4.58176649585', 52)
('1.96072370036', 52)
('petal length', 52)
('4.07395539412', 52)
('1.39372176315', 52)
('4.31184551989', 52)
('4.13604818517', 52)
('sepal width', 52)
('sepal length', 52)
('4.30334663369', 52)
('2.37105084213', 52)
('petal width', 52)
('4.00450551608', 52)
('3.10344849404', 52)
('3.89848321708', 51)
('2.94963901858', 48)
('1.43815375605', 48)
('1.44967370203', 48)
('4.54055100239', 47)
('4.69030767216', 47)
('1.59101864024', 44)
('3.11863578047', 36)
('4.16560692491', 35)
('3.67173551208', 33)
('3.59076322185', 32)
('4.29321971278', 31)
('1.40381566536', 31)
('3.81027969874', 31)
('1.35160925019', 31)
('2.21786097648', 31)
('4.58785423488', 30)
('4.50798754377', 30)
('1.6678434862', 29)
('1.96701262315', 29)
('4.23003427086', 29)
('4.63836060169', 27)
('1.67291228473', 26)
('4.08310833288', 26)
('2.23070662394', 26)
('1.5367980777', 25)
('3.05045191281', 25)
('4.78710192739', 25)
('2.83268960733', 25)
('4.848865586', 24)
('3.08313365782', 24)
('2.86938463469', 24)
('3.35233959378', 23)
('4.44655589802', 23)
('3.2076341759', 22)
('4.36685859536', 22)
('2.20068026182', 22)
('4.19201733307', 20)
('1.05906688143', 20)
('2.18915816508', 18)
