0.53, 0,3,0,3
0.53, 0,8,0,8
0.53, 0,12,0,12
0.53,1,2,1,2
0.53,1,3,1,3
0.53,1,4,1,4
0.53,1,5,1,5
0.53,1,7,1,7
0.53,1,8,1,8
0.53,1,9,1,9
0.53,1,10,1,10
0.53,1,11,1,11
0.53,1,13,1,13
0.53,1,14,1,14
0.53,1,15,1,15
0.53,1,17,1,17
0.53,1,18,1,18
0.53,2,3,2,3
0.53,2,4,2,4
0.53,2,5,2,5
0.53,2,6,2,6
0.53,2,7,2,7
0.53,2,8,2,8
0.53,2,9,2,9
0.53,2,10,2,10
0.53,2,11,2,11
0.53,2,13,2,13
0.53,2,14,2,14
0.53,2,15,2,15
0.53,2,17,2,17
0.53,3,4,3,4
0.53,3,5,3,5
0.53,3,6,3,6
0.53,3,10,3,10
0.53,3,11,3,11
0.53,3,13,3,13
0.53,3,14,3,14
0.53,3,15,3,15
0.53,3,17,3,17
0.53,4,5,4,5
0.53,4,6,4,6
0.53,4,7,4,7
0.53,4,8,4,8
0.53,4,9,4,9
0.53,4,10,4,10
0.53,4,11,4,11
0.53,4,12,4,12
0.53,4,13,4,13
0.53,4,14,4,14
0.53,4,15,4,15
0.53,5,6,5,6
0.53,5,7,5,7
0.53,5,8,5,8
0.53,5,9,5,9
0.53,5,10,5,10
0.53,5,11,5,11
0.53,5,12,5,12
0.53,5,13,5,13
0.53,5,15,5,15
0.53,5,17,5,17
0.53,6,7,6,7
0.53,6,10,6,10
0.53,6,11,6,11
0.53,6,13,6,13
0.53,6,14,6,14
0.53,6,15,6,15
0.53,7,8,7,8
0.53,7,9,7,9
0.53,7,10,7,10
0.53,7,11,7,11
0.53,7,12,7,12
0.53,7,13,7,13
0.53,7,14,7,14
0.53,7,15,7,15
0.53,7,17,7,17
0.53,7,18,7,18
0.53,8,9,8,9
0.53,8,10,8,10
0.53,8,11,8,11
0.53,8,13,8,13
0.53,8,17,8,17
0.53,9,10,9,10
0.53,9,11,9,11
0.53,9,13,9,13
0.53,9,14,9,14
0.53,9,15,9,15
0.53,9,17,9,17
0.53,9,18,9,18
0.53,10,11,10,11
0.53,10,13,10,13
0.53,10,14,10,14
0.53,10,15,10,15
0.53,10,17,10,17
0.53,11,13,11,13
0.53,11,14,11,14
0.53,11,15,11,15
0.53,11,17,11,17
0.53,11,18,11,18
0.53,12,13,12,13
0.53,12,14,12,14
0.53,12,17,12,17
0.53,13,14,13,14
0.53,13,15,13,15
0.53,13,17,13,17
0.53,14,15,14,15
0.53,14,17,14,17
0.53,15,17,15,17
0.52, 0,1,0,1
0.52, 0,2,0,2
0.52, 0,4,0,4
0.52, 0,5,0,5
0.52, 0,6,0,6
0.52, 0,9,0,9
0.52, 0,10,0,10
0.52, 0,11,0,11
0.52, 0,14,0,14
0.52, 0,15,0,15
0.52, 0,17,0,17
0.52,1,6,1,6
0.52,1,12,1,12
0.52,2,12,2,12
0.52,2,18,2,18
0.52,3,7,3,7
0.52,3,8,3,8
0.52,3,9,3,9
0.52,3,12,3,12
0.52,3,18,3,18
0.52,4,17,4,17
0.52,4,18,4,18
0.52,5,14,5,14
0.52,5,18,5,18
0.52,6,8,6,8
0.52,6,9,6,9
0.52,6,12,6,12
0.52,6,17,6,17
0.52,6,18,6,18
0.52,7,16,7,16
0.52,8,12,8,12
0.52,8,14,8,14
0.52,8,15,8,15
0.52,8,18,8,18
0.52,9,12,9,12
0.52,10,12,10,12
0.52,10,18,10,18
0.52,11,12,11,12
0.52,12,15,12,15
0.52,13,18,13,18
0.52,14,18,14,18
0.52,15,18,15,18
0.51, 0,7,0,7
0.51, 0,13,0,13
0.51, 0,18,0,18
0.51,4,16,4,16
0.51,8,16,8,16
0.51,12,16,12,16
0.51,12,18,12,18
0.51,13,16,13,16
0.51,16,17,16,17
0.51,17,18,17,18
0.5, 0,16,0,16
0.5,1,16,1,16
0.5,2,16,2,16
0.5,3,16,3,16
0.5,5,16,5,16
0.5,6,16,6,16
0.5,14,16,14,16
0.49,10,16,10,16
0.49,11,16,11,16
0.49,16,18,16,18
0.48,9,16,9,16
0.48,15,16,15,16
