('petal length', 52)
('4.07395539412', 52)
('4.31184551989', 52)
('sepal width', 52)
('sepal length', 52)
('petal width', 52)
('4.00450551608', 52)
('1.96072370036', 48)
('4.30334663369', 45)
('2.37105084213', 30)
('3.10344849404', 26)
('1.39372176315', 24)
('4.58176649585', 23)
('4.13604818517', 21)
('1.43815375605', 21)
('2.94963901858', 20)
('1.44967370203', 17)
('3.89848321708', 16)
('4.69030767216', 16)
('1.59101864024', 15)
('4.54055100239', 15)
('4.16560692491', 15)
('1.40381566536', 14)
('3.67173551208', 14)
('1.35160925019', 14)
('4.58785423488', 12)
('3.81027969874', 12)
('4.50798754377', 12)
('3.11863578047', 12)
('4.29321971278', 11)
('1.96701262315', 11)
('4.63836060169', 11)
('4.19201733307', 10)
('3.2076341759', 10)
('3.59076322185', 10)
('4.36685859536', 10)
('2.21786097648', 10)
('4.23003427086', 10)
('3.08313365782', 9)
('1.5367980777', 9)
('1.05906688143', 9)
('1.6678434862', 9)
('4.08310833288', 9)
('2.23070662394', 9)
('4.44655589802', 9)
('4.848865586', 8)
('3.05045191281', 8)
('3.35233959378', 8)
('4.78710192739', 8)
('2.20068026182', 8)
('2.18915816508', 8)
('2.86938463469', 8)
('1.67291228473', 7)
('2.83268960733', 7)
