('AFFX-HUMTFRR/M11507_5_at', 58)
('AC002073_cds1_at', 58)
('AJ000480_at', 58)
('AFFX-HUMISGF3A/M97935_MA_at', 58)
('AB000584_at', 58)
('AFFX-HUMTFRR/M11507_M_at', 58)
('AFFX-HUMTFRR/M11507_3_at', 58)
('D00596_at', 56)
('AB002315_at', 52)
('AC002115_cds1_at', 46)
('AFFX-HSAC07/X00351_5_at', 40)
('AF006041_at', 39)
('AFFX-M27830_M_at', 38)
('AF003743_at', 37)
('AFFX-HUMGAPDH/M33197_3_st', 37)
('AB002382_at', 37)
('AF000231_at', 37)
('AF000562_at', 36)
('AF015913_at', 36)
('AC000061_cds2_at', 36)
('AC002115_rna2_at', 36)
('AB001325_at', 36)
('AB001106_at', 36)
('AFFX-M27830_3_at', 36)
('AF010193_at', 35)
('AJ001421_at', 35)
('AF006084_at', 35)
('AB002559_at', 34)
('AB003177_at', 34)
('AFFX-HUMISGF3A/M97935_3_at', 34)
('AFFX-HUMISGF3A/M97935_MB_at', 33)
('AF007875_at', 31)
('AF009301_at', 31)
('AB002318_at', 31)
('AF002224_at', 30)
('AB000464_at', 29)
('AFFX-M27830_5_at', 29)
('AFFX-HUMRGE/M10098_5_at', 28)
('AB000449_at', 27)
('D00017_at', 25)
('AB000468_at', 23)
('AFFX-HUMGAPDH/M33197_M_st', 22)
('AFFX-HUMRGE/M10098_3_at', 18)
('AF008445_at', 17)
('AF000560_at', 17)
('AFFX-HUMRGE/M10098_M_at', 16)
('AFFX-HSAC07/X00351_3_st', 16)
('AFFX-HUMGAPDH/M33197_5_at', 14)
('AF008937_at', 14)
('AFFX-HUMGAPDH/M33197_M_at', 13)
('D00632_at', 13)
('AF014958_at', 12)
('AFFX-HSAC07/X00351_M_st', 12)
('AFFX-HSAC07/X00351_M_at', 12)
('A28102_at', 12)
('AF006087_at', 11)
('AF015910_at', 10)
('AB000115_at', 10)
('AC000064_cds1_at', 9)
('AF002700_at', 9)
